Name,Type1,Type2
Bulbasaur,GRASS, POISON
Ivysaur,GRASS, POISON
Venusaur,GRASS, POISON
Venusaur,GRASS, POISON
Charmander,FIRE,
Charmeleon,FIRE,
Charizard,FIRE, FLYING
Charizard,FIRE, DRAGON
Charizard,FIRE, FLYING
Squirtle,WATER,
Wartortle,WATER,
Blastoise,WATER,
Blastoise,WATER,
Caterpie,BUG,
Metapod,BUG,
Butterfree,BUG, FLYING
Weedle,BUG, POISON
Kakuna,BUG, POISON
Beedrill,BUG, POISON
Beedrill,BUG, POISON
Pidgey,NORMAL, FLYING
Pidgeotto,NORMAL, FLYING
Pidgeot,NORMAL, FLYING
Pidgeot,NORMAL, FLYING
Rattata,NORMAL,
Rattata,DARK, NORMAL
Raticate,NORMAL,
Raticate,DARK, NORMAL
Spearow,NORMAL, FLYING
Fearow,NORMAL, FLYING
Ekans,POISON,
Arbok,POISON,
Pikachu,ELECTRIC,
Pikachu,ELECTRIC,
Pikachu,ELECTRIC,
Pikachu,ELECTRIC,
Pikachu,ELECTRIC,
Pikachu,ELECTRIC,
Raichu,ELECTRIC,
Raichu,ELECTRIC, PSYCHIC
Sandshrew,GROUND,
Sandshrew,ICE, STEEL
Sandslash,GROUND,
Sandslash,ICE, STEEL
Nidoran,POISON,
Nidorina,POISON,
Nidoqueen,POISON, GROUND
Nidoran♂,POISON,
Nidorino,POISON,
Nidoking,POISON, GROUND
Clefairy,FAIRY,
Clefable,FAIRY,
Vulpix,FIRE,
Vulpix,ICE,
Ninetales,FIRE,
Ninetales,ICE, FAIRY
Jigglypuff,NORMAL, FAIRY
Wigglytuff,NORMAL, FAIRY
Zubat,POISON, FLYING
Golbat,POISON, FLYING
Oddish,GRASS, POISON
Gloom,GRASS, POISON
Vileplume,GRASS, POISON
Paras,BUG, GRASS
Parasect,BUG, GRASS
Venonat,BUG, POISON
Venomoth,BUG, POISON
Diglett,GROUND,
Diglett,GROUND, STEEL
Dugtrio,GROUND,
Dugtrio,GROUND, STEEL
Meowth,NORMAL,
Meowth,DARK,
Meowth,STEEL,
Persian,NORMAL,
Persian,DARK,
Psyduck,WATER,
Golduck,WATER,
Mankey,FIGHTING,
Primeape,FIGHTING,
Growlithe,FIRE,
Growlithe,FIRE, ROCK
Arcanine,FIRE,
Arcanine,FIRE, ROCK
Poliwag,WATER,
Poliwhirl,WATER,
Poliwrath,WATER, FIGHTING
Abra,PSYCHIC,
Kadabra,PSYCHIC,
Alakazam,PSYCHIC,
Alakazam,PSYCHIC,
Machop,FIGHTING,
Machoke,FIGHTING,
Machamp,FIGHTING,
Bellsprout,GRASS, POISON
Weepinbell,GRASS, POISON
Victreebel,GRASS, POISON
Tentacool,WATER, POISON
Tentacruel,WATER, POISON
Geodude,ROCK, GROUND
Geodude,ROCK, ELECTRIC
Graveler,ROCK, GROUND
Graveler,ROCK, ELECTRIC
Golem,ROCK, GROUND
Golem,ROCK, ELECTRIC
Ponyta,FIRE,
Ponyta,PSYCHIC,
Rapidash,FIRE,
Rapidash,PSYCHIC, FAIRY
Slowpoke,WATER, PSYCHIC
Slowpoke,PSYCHIC,
Slowbro,WATER, PSYCHIC
Slowbro,WATER, PSYCHIC
Slowbro,POISON, PSYCHIC
Magnemite,ELECTRIC, STEEL
Magneton,ELECTRIC, STEEL
Farfetch'd,NORMAL, FLYING
Farfetch'd,FIGHTING,
